trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size,use_batchnorm
64,0.01443012710660696,35,0.01443012710660696,0.006983860395848751,-0.0036873994395136833,0.0,3,4,704,25,0.14800074000934788,0.0021012887345679913,0.0005871938077435891,swish,64,True
135,0.014432705007493496,16,0.014432705007493496,0.004838618915528059,-0.005053353495895863,0.005989099838294304,4,3,640,25,0.17284481525268486,0.0005444949358874024,9.804713935019793e-05,relu,32,True
133,0.01456120703369379,30,0.01456120703369379,0.007730861194431782,-0.0022452063858509064,0.0,4,2,640,25,0.2174686074968401,0.0002549638173438884,0.0008738276494162751,swish,32,True
109,0.014607442542910576,24,0.014607442542910576,0.00716520706191659,-0.003283278550952673,0.005989099838294304,4,3,640,25,0.1713216724576264,0.0004585992461366787,0.0022588741624583603,elu,32,True
25,0.014711711555719376,35,0.014711711555719376,0.006426699925214052,0.004839599132537842,0.005989099838294304,3,4,384,25,0.26386423984245705,0.001278564811834402,0.0019134273460681027,elu,64,True
97,0.0149429552257061,29,0.0149429552257061,0.007303005550056696,5.434323611552827e-05,0.005989099838294304,4,3,704,25,0.1954924240193015,0.0005552262045123617,5.277906379466568e-05,relu,32,True
22,0.01501377485692501,40,0.01501377485692501,0.00601407652720809,0.006548641715198755,0.017967299514882913,3,4,512,25,0.11980020854378542,0.001941548785608898,0.0016565083560470656,swish,64,True
24,0.015160084702074528,38,0.015160084702074528,0.007996409200131893,0.0045073917135596275,0.0,2,4,512,25,0.06632467075176261,0.0021583643076103845,0.00046756823408075794,swish,64,True
62,0.015205474570393562,33,0.015205474570393562,0.008359057828783989,0.0017439051298424602,0.005989099838294304,3,4,512,25,0.21238048768022028,0.0016528965273525196,0.0019823956434756973,swish,64,True
77,0.015508005395531654,26,0.015508005395531654,0.007400461006909609,0.005758579820394516,0.005989099838294304,4,3,704,25,0.13840200041012463,0.0006291238097296197,0.00021259818034787814,elu,32,True
17,0.015547358430922031,32,0.015547358430922031,0.009034412913024426,0.002251732861623168,0.005989099838294304,3,4,384,25,0.1630987912299135,0.0017827116428150822,0.0009371111199920706,swish,64,True
169,0.015589512884616852,25,0.015589512884616852,0.010541988536715508,-0.0006107029039412737,0.011978199676588608,4,3,704,25,0.20999127809297977,0.0003962713840260792,0.0007082031473858891,relu,32,True
136,0.01582959108054638,30,0.01582959108054638,0.007013656198978424,-0.005573826842010021,0.005989099838294304,4,2,576,25,0.1604728163629979,0.0006339751387560921,0.000151308599808834,swish,32,True
52,0.015833262354135513,37,0.015833262354135513,0.009891188703477383,0.0029736487194895744,0.011978199676588608,3,4,640,25,0.10845252176199886,0.0023918121344654233,0.002653974482689774,swish,64,True
61,0.01585925556719303,33,0.01585925556719303,0.008060360327363014,0.0027135275304317474,0.005989099838294304,3,4,576,25,0.14471207546365575,0.002329176228358243,0.000806442739241738,swish,64,True
153,0.016169274225831032,19,0.016169274225831032,0.008106336928904057,0.0038347989320755005,0.017967299514882913,4,3,704,25,0.16475678948784636,0.0017609706779407202,0.0013621419839216116,elu,32,True
157,0.016203779727220535,24,0.016203779727220535,0.008670632727444172,0.002889591036364436,0.011978199676588608,4,3,192,25,0.1840097804419891,0.0009120087859584444,0.0018380028503715065,elu,32,True
46,0.01628909818828106,40,0.01628909818828106,0.009565482847392559,0.0003485725319478661,0.005989099838294304,2,4,768,11,0.13441044757374582,0.0011027974969752075,2.487811635665381e-06,swish,64,True
31,0.016409460455179214,22,0.016409460455179214,0.009129000827670097,-0.0009077420108951628,0.035934599029765826,4,3,704,25,0.17870840914474853,0.00040845344350467675,4.988880061894355e-06,swish,64,True
114,0.01653771661221981,25,0.01653771661221981,0.008465400896966457,0.00038869818672537804,0.005989099838294304,4,3,576,25,0.1485855939953803,0.0008220361252359233,6.182732510938494e-06,swish,32,True
165,0.016651088371872902,22,0.016651088371872902,0.008747274056077003,0.002832338446751237,0.0,4,3,512,25,0.1820815873385064,0.0005144759761141202,0.00042121529588593724,relu,32,True
164,0.016718192026019096,27,0.016718192026019096,0.007028223015367985,0.005159755703061819,0.0,4,3,704,25,0.17773682319443512,0.0004785141789223933,0.0009259649582468312,relu,32,True
21,0.016996923834085464,34,0.016996923834085464,0.006539311725646257,-0.006471614353358746,0.005989099838294304,3,4,640,25,0.14505056337728695,0.0014177209024893358,0.0015555328533960059,swish,64,True
134,0.017027266323566437,26,0.017027266323566437,0.007942448370158672,0.00337350950576365,0.011978199676588608,4,3,704,25,0.1844039826501673,0.000700220678221688,3.8034043992881036e-05,elu,32,True
107,0.017038561403751373,26,0.017038561403751373,0.01006745733320713,0.002598891733214259,0.011978199676588608,4,3,704,25,0.20515252471381218,0.0004949141563573936,8.561084056064309e-06,elu,32,True
131,0.01706395298242569,30,0.01706395298242569,0.0076681822538375854,0.005602738354355097,0.011978199676588608,4,2,512,25,0.18673704115338147,0.0005764087675224822,1.5639762272019927e-05,swish,32,True
141,0.01709671877324581,33,0.01709671877324581,0.00928962416946888,0.002013798337429762,0.0,4,3,832,15,0.0886004451127528,0.0005880333316425792,2.1764411924586465e-05,elu,32,True
110,0.017198139801621437,24,0.017198139801621437,0.00906306505203247,9.108328958973289e-05,0.005989099838294304,4,3,768,25,0.26625745883943264,0.0006681892824709386,0.0012701599453899992,elu,32,True
48,0.017293434590101242,35,0.017293434590101242,0.009762170724570751,-0.0009495651465840638,0.029945499191471523,3,1,512,21,0.1965950001018631,0.00048621335740763554,4.057478253280575e-05,swish,32,True
94,0.01730002649128437,27,0.01730002649128437,0.0070397634990513325,-0.004652837757021189,0.017967299514882913,4,3,576,25,0.16474622133302416,0.0009094688314341499,0.001341296481352475,elu,32,True
70,0.017472000792622566,27,0.017472000792622566,0.010614139027893543,0.005021590739488602,0.017967299514882913,4,3,768,25,0.22629056429117472,0.0006508568755135249,7.285133237360012e-05,elu,32,True
66,0.01769651472568512,15,0.01769651472568512,0.008301937952637672,-1.8216132957604714e-05,0.035934599029765826,4,3,768,25,0.1802780089303993,0.00284263303512586,6.706021185712112e-05,elu,32,True
148,0.017824368551373482,23,0.017824368551373482,0.00745095731690526,-0.005496463738381863,0.017967299514882913,4,3,768,25,0.17234753618833382,0.0010552901110342946,0.0010973683423400609,elu,32,True
53,0.017837274819612503,34,0.017837274819612503,0.009822597727179527,0.0003781275008805096,0.023956399353177216,2,4,768,25,0.12858008892190076,0.0025771367705511015,0.0012517888806537337,swish,64,True
